X,Y,ONE,TWO,THREE,FOUR,FIVE,SIX,SEVEN,EIGHT,NINE,TEN
697.672,1463.79,-79,-120,-120,-120,-86,-73,-71,-89,-88,-86
699.401,1174.67,-84,-76,-120,-120,-81,-63,-78,-69,-81,-81
702.851,1566.74,-120,-120,-120,-120,-120,-120,-66,-120,-120,-120
703.097,1452.92,-78,-84,-120,-120,-85,-65,-66,-83,-85,-85
703.976,1488.82,-83,-83,-120,-120,-84,-62,-69,-87,-90,-84
704.378,1600.1,-90,-120,-120,-120,-120,-85,-76,-120,-120,-120
705.1,1636.46,-85,-120,-120,-120,-120,-120,-60,-120,-120,-120
705.779,1499.04,-90,-120,-120,-120,-120,-70,-70,-89,-89,-120
706.23,1633.26,-88,-120,-120,-120,-120,-84,-70,-120,-120,-120
706.542,1634.79,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
707.652,1571.37,-89,-120,-120,-120,-120,-83,-76,-120,-120,-120
708.061,844.045,-120,-71,-78,-76,-120,-120,-120,-77,-77,-120
709.542,882.035,-120,-120,-84,-85,-120,-85,-120,-78,-74,-120
712.424,1507.78,-84,-120,-120,-120,-120,-68,-70,-89,-120,-120
722.281,726.669,-120,-120,-120,-120,-120,-120,-120,-89,-89,-120
730.88,1211.99,-70,-120,-120,-120,-84,-66,-82,-77,-75,-83
749.262,475.831,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
750.789,466.973,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
784.836,837.095,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
791.378,1225.4,-75,-77,-120,-120,-80,-73,-76,-80,-72,-83
797.56,471.615,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
800.427,463.138,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
806.387,453.24,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
812.701,838.446,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
813.137,838.446,-120,-120,-78,-78,-120,-120,-120,-82,-80,-120
828.832,473.327,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
829.246,841.599,-120,-120,-73,-73,-120,-120,-120,-87,-89,-120
856.692,847.902,-120,-83,-79,-79,-120,-120,-120,-86,-85,-120
857.384,854.284,-77,-89,-85,-87,-46,-59,-65,-86,-89,-83
861.612,1206.01,-70,-83,-120,-120,-82,-76,-83,-76,-85,-81
862.913,834.082,-120,-120,-85,-84,-120,-120,-120,-89,-89,-120
863.223,826.736,-120,-83,-81,-80,-120,-120,-120,-82,-91,-120
865.069,478.082,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
865.234,467.016,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
865.817,461.15,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
897.26,478.272,-120,-120,-120,-120,-120,-87,-120,-80,-120,-120
910.395,833.678,-120,-120,-73,-73,-120,-120,-120,-120,-89,-120
916.03,1103.82,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
944.429,836.61,-120,-72,-74,-75,-120,-120,-120,-120,-85,-120
960.711,1551.11,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
961.329,1169.83,-82,-88,-120,-120,-85,-82,-83,-83,-90,-84
962.686,104.019,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
965.031,472.365,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
965.604,1460.72,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
966.547,139.029,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
968.65,139.536,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
971.099,92.8368,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
974.909,463.258,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
978.996,852.695,-120,-120,-78,-76,-120,-120,-120,-120,-86,-120
979.27,823.834,-120,-82,-74,-74,-120,-120,-120,-87,-86,-120
983.835,277.428,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
994.718,283.935,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1005.76,166.068,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1006.93,148.564,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1007.74,851.28,-120,-83,-72,-72,-120,-120,-120,-89,-120,-120
1008.28,824.117,-120,-88,-80,-81,-120,-120,-120,-120,-120,-120
1011.13,908.092,-120,-120,-120,-120,-120,-120,-120,-120,-92,-120
1014.1,955.078,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1021.91,100.381,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1022.74,388.045,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1023.58,104.225,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1024.17,628.374,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1026.38,584.36,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1026.39,391.239,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1028.13,740.617,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1028.29,289.958,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1029.2,688.151,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1030.7,245.316,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1031.06,529.89,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1031.28,296.211,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1032.17,207.646,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1032.71,1289.54,-90,-120,-120,-120,-120,-86,-120,-120,-120,-120
1032.73,252.674,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1033.41,683.267,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1033.76,529.627,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1033.87,560.733,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1034.14,1206.18,-82,-89,-120,-120,-87,-80,-120,-87,-89,-120
1035.16,1384.87,-90,-120,-120,-120,-120,-89,-120,-120,-120,-120
1035.44,202.066,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1035.7,1519.9,-120,-120,-120,-120,-120,-120,-85,-120,-120,-120
1036.3,1537.36,-120,-120,-120,-120,-120,-120,-88,-120,-120,-120
1036.77,1411.48,-120,-120,-120,-120,-120,-88,-120,-120,-120,-120
1036.89,452.002,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1037.17,330.971,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1037.18,455.154,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1037.72,150.572,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1037.83,627.854,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1038.32,1110.73,-120,-120,-120,-120,-120,-120,-120,-92,-120,-120
1038.32,1147.55,-120,-120,-120,-120,-120,-120,-120,-92,-120,-120
1038.42,733.116,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1038.74,1263.94,-78,-120,-120,-120,-87,-84,-120,-120,-120,-120
1039.49,895.398,-120,-120,-120,-120,-120,-120,-120,-88,-92,-120
1040.6,1069.94,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1040.89,148.746,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1041.59,336.963,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1043.3,929.102,-120,-120,-120,-120,-120,-120,-120,-88,-120,-120
1044.57,964.119,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1044.77,827.064,-120,-80,-72,-72,-120,-120,-120,-87,-120,-120
1044.99,1036.34,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120
1045.24,849.582,-120,-83,-75,-73,-120,-120,-120,-92,-120,-120
1072.12,827.48,-120,-120,-73,-73,-120,-120,-120,-90,-81,-120
1072.12,850.343,-120,-85,-73,-74,-120,-120,-120,-89,-81,-120
1095.06,786.119,-120,-120,-88,-86,-120,-120,-120,-120,-120,-120
1096.01,894.594,-120,-120,-89,-120,-120,-120,-120,-120,-120,-120
1099.46,858.657,-120,-80,-82,-83,-120,-120,-120,-89,-120,-120
1101.47,823.323,-120,-88,-72,-72,-120,-120,-120,-120,-120,-120
